Year,Variables,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,source_page,source_url,datatable_index
2021,Merchandise Imports (f.o.b) (Millions of US Dollars),"1,135.44","1,026.42","1,167.38","1,102.65","1,220.44","1,110.06","1,179.47","1,060.84","1,056.27","1,085.40","1,291.40","1,192.75",merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2021,Merchandise Exports_Other Exports (Millions of US Dollars),197.11,227.12,257.63,217.50,213.15,240.57,198.64,227.33,212.98,272.28,212.30,219.50,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2021,Merchandise Exports_Crude Oil (Millions of US Dollars),268.01,242.20,326.00,313.33,328.52,279.02,417.23,261.37,354.54,318.52,478.61,360.38,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2021,Merchandise Exports_Cocoa Products (Millions of US Dollars),84.50,84.71,83.81,85.39,78.28,100.87,110.40,96.15,107.63,83.56,80.47,74.93,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2021,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),12.54,15.00,16.41,15.29,13.53,12.34,13.36,12.71,12.53,11.87,13.12,13.26,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2021,Merchandise Exports_Cocoa Beans (Millions of US Dollars),285.55,246.64,236.51,186.46,200.73,113.86,91.33,56.68,48.99,59.24,81.51,160.36,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2021,Merchandise Exports_Gold (Millions of US Dollars),507.62,423.57,446.73,430.28,407.10,451.38,384.49,376.13,407.32,381.19,433.30,434.05,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2021,Merchandise Exports (f.o.b) (Millions of US Dollars),"1,355.33","1,239.22","1,367.09","1,248.25","1,241.30","1,198.05","1,215.45","1,030.36","1,143.98","1,126.65","1,299.30","1,262.48",merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2020,Merchandise Imports_Oil & Gas (Millions of US Dollars),215.11,159.66,175.83,118.94,127.03,120.17,163.40,123.85,136.47,215.76,169.43,164.88,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2020,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),308.90,482.13,58.03,157.24,68.38,-69.21,118.58,234.04,198.34,129.83,-35.55,392.27,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2020,Merchandise Imports_Non-Oil (Millions of US Dollars),913.06,722.72,854.60,972.83,883.74,"1,126.85",769.50,824.35,834.18,873.28,"1,021.91",741.01,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2020,Merchandise Imports (f.o.b) (Millions of US Dollars),"1,128.18",882.37,"1,030.43","1,091.77","1,010.77","1,247.02",932.91,948.21,970.65,"1,089.04","1,191.33",905.88,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2020,Merchandise Exports_Other Exports (Millions of US Dollars),189.08,208.86,222.52,203.55,163.83,211.96,205.84,166.68,169.97,217.94,175.62,163.80,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2020,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),10.18,9.40,9.93,6.07,6.43,7.67,12.78,13.14,16.85,12.73,12.87,15.95,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
