date,year,month,month_name,variable,value,source_page,source_url,datatable_index,quarter,quarter_name
1976-01-01,1976,1,Jan,Inflation Headline (%) Year-on-Year,44.2,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1976-02-01,1976,2,Feb,Inflation Headline (%) Year-on-Year,48.9,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1976-03-01,1976,3,Mar,Inflation Headline (%) Year-on-Year,50.0,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1976-04-01,1976,4,Apr,Inflation Headline (%) Year-on-Year,46.4,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1976-05-01,1976,5,May,Inflation Headline (%) Year-on-Year,50.6,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1976-06-01,1976,6,Jun,Inflation Headline (%) Year-on-Year,52.4,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1976-07-01,1976,7,Jul,Inflation Headline (%) Year-on-Year,62.3,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1976-08-01,1976,8,Aug,Inflation Headline (%) Year-on-Year,62.5,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1976-09-01,1976,9,Sep,Inflation Headline (%) Year-on-Year,63.3,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1976-10-01,1976,10,Oct,Inflation Headline (%) Year-on-Year,62.0,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1976-11-01,1976,11,Nov,Inflation Headline (%) Year-on-Year,58.1,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1976-12-01,1976,12,Dec,Inflation Headline (%) Year-on-Year,67.0,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1976-12-31,1976,,,Inflation Headline (%) Year-on-Year,44.2,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1977-01-01,1977,1,Jan,Inflation Headline (%) Year-on-Year,64.2,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1977-02-01,1977,2,Feb,Inflation Headline (%) Year-on-Year,67.2,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1977-03-01,1977,3,Mar,Inflation Headline (%) Year-on-Year,80.7,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1977-04-01,1977,4,Apr,Inflation Headline (%) Year-on-Year,102.9,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1977-05-01,1977,5,May,Inflation Headline (%) Year-on-Year,112.7,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1977-06-01,1977,6,Jun,Inflation Headline (%) Year-on-Year,144.6,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1977-07-01,1977,7,Jul,Inflation Headline (%) Year-on-Year,155.4,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1977-08-01,1977,8,Aug,Inflation Headline (%) Year-on-Year,145.5,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1977-09-01,1977,9,Sep,Inflation Headline (%) Year-on-Year,141.2,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1977-10-01,1977,10,Oct,Inflation Headline (%) Year-on-Year,119.3,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1977-11-01,1977,11,Nov,Inflation Headline (%) Year-on-Year,119.3,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1977-12-01,1977,12,Dec,Inflation Headline (%) Year-on-Year,106.0,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1977-12-31,1977,,,Inflation Headline (%) Year-on-Year,64.2,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1978-01-01,1978,1,Jan,Inflation Headline (%) Year-on-Year,103.9,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1978-02-01,1978,2,Feb,Inflation Headline (%) Year-on-Year,99.4,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1978-03-01,1978,3,Mar,Inflation Headline (%) Year-on-Year,95.1,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1978-04-01,1978,4,Apr,Inflation Headline (%) Year-on-Year,77.1,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1978-05-01,1978,5,May,Inflation Headline (%) Year-on-Year,66.9,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1978-06-01,1978,6,Jun,Inflation Headline (%) Year-on-Year,42.6,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1978-07-01,1978,7,Jul,Inflation Headline (%) Year-on-Year,25.8,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1978-08-01,1978,8,Aug,Inflation Headline (%) Year-on-Year,30.3,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1978-09-01,1978,9,Sep,Inflation Headline (%) Year-on-Year,37.5,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1978-10-01,1978,10,Oct,Inflation Headline (%) Year-on-Year,64.0,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1978-11-01,1978,11,Nov,Inflation Headline (%) Year-on-Year,82.6,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1978-12-01,1978,12,Dec,Inflation Headline (%) Year-on-Year,96.7,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1978-12-31,1978,,,Inflation Headline (%) Year-on-Year,103.9,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
