date,year,month,month_name,variable,value,source_page,source_url,datatable_index
2006-05-01,2006,5,May,Merchandise Exports (f.o.b) (Millions of US Dollars),331.57,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2006-06-01,2006,6,Jun,Merchandise Exports (f.o.b) (Millions of US Dollars),280.99,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2006-07-01,2006,7,Jul,Merchandise Exports (f.o.b) (Millions of US Dollars),363.63,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2006-08-01,2006,8,Aug,Merchandise Exports (f.o.b) (Millions of US Dollars),362.31,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2006-09-01,2006,9,Sep,Merchandise Exports (f.o.b) (Millions of US Dollars),260.6,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2006-10-01,2006,10,Oct,Merchandise Exports (f.o.b) (Millions of US Dollars),186.34,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2006-11-01,2006,11,Nov,Merchandise Exports (f.o.b) (Millions of US Dollars),406.33,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2006-12-01,2006,12,Dec,Merchandise Exports (f.o.b) (Millions of US Dollars),324.47,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2007-01-01,2007,1,Jan,Merchandise Exports (f.o.b) (Millions of US Dollars),358.45,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2007-02-01,2007,2,Feb,Merchandise Exports (f.o.b) (Millions of US Dollars),331.83,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2007-03-01,2007,3,Mar,Merchandise Exports (f.o.b) (Millions of US Dollars),351.2,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2007-04-01,2007,4,Apr,Merchandise Exports (f.o.b) (Millions of US Dollars),339.8,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2007-05-01,2007,5,May,Merchandise Exports (f.o.b) (Millions of US Dollars),383.52,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2007-06-01,2007,6,Jun,Merchandise Exports (f.o.b) (Millions of US Dollars),378.02,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2007-07-01,2007,7,Jul,Merchandise Exports (f.o.b) (Millions of US Dollars),325.07,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2007-08-01,2007,8,Aug,Merchandise Exports (f.o.b) (Millions of US Dollars),334.9,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2007-09-01,2007,9,Sep,Merchandise Exports (f.o.b) (Millions of US Dollars),321.11,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2007-10-01,2007,10,Oct,Merchandise Exports (f.o.b) (Millions of US Dollars),305.39,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2007-11-01,2007,11,Nov,Merchandise Exports (f.o.b) (Millions of US Dollars),425.09,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2007-12-01,2007,12,Dec,Merchandise Exports (f.o.b) (Millions of US Dollars),368.61,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
