Year,Variables,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,source_page,source_url,datatable_index,First Quarter,Second Quarter,Third Quarter,Fourth Quarter,col_3
2009,Bank of Ghana Composite Index of Economic Activity (Real Growth) (%),10.18,3.17,7.34,4.56,1.54,2.53,-2.14,-0.98,3.63,2.92,-0.68,14.79,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2009,Bank of Ghana Composite Index of Economic Activity (Nominal Growth) (%),24.69,18.67,23.05,19.91,16.10,17.36,11.70,11.81,14.59,12.90,9.42,21.42,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2009,Bank of Ghana Composite Index of Economic Activity (Real),227.21,210.00,223.19,222.90,223.19,222.32,229.36,221.07,223.26,237.54,229.43,254.80,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2009,Bank of Ghana Composite Index of Economic Activity (Nominal),486.56,462.20,492.57,498.35,501.25,507.58,522.51,506.72,509.68,537.34,525.96,574.40,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2009,Inflation_Non-Food (%) Year-on-Year,20.16,21.34,22.00,21.46,22.22,24.66,24.48,23.25,22.38,21.15,20.05,18.82,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2009,Inflation_Food (%) Year-on-Year,19.42,18.95,18.50,19.32,17.17,15.54,15.17,14.74,12.78,13.53,12.38,11.85,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2009,Inflation Headline (%) Year-on-Year,19.86,20.34,20.53,20.56,20.06,20.74,20.50,19.65,18.37,18.04,16.92,15.98,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2008,Bank of Ghana Composite Index of Economic Activity (Real Growth) (%),25.89,21.48,20.37,23.59,20.06,21.89,30.75,11.35,13.41,20.32,13.40,8.38,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2008,Bank of Ghana Composite Index of Economic Activity (Real),206.22,203.54,207.93,213.19,219.81,216.84,234.37,223.24,215.44,230.80,231.00,221.96,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2008,Bank of Ghana Composite Index of Economic Activity (Nominal Growth) (%),37.94,33.78,33.22,36.77,34.41,35.79,44.07,26.88,28.38,33.89,27.19,22.63,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2008,Bank of Ghana Composite Index of Economic Activity (Nominal),390.23,389.48,400.31,415.61,431.75,432.49,467.79,453.20,444.77,475.96,480.68,473.07,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2008,Inflation_Non-Food (%) Year-on-Year,14.40,14.68,14.41,16.90,17.67,18.91,18.97,18.50,18.53,18.93,18.57,19.12,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2008,Inflation Headline (%) Year-on-Year,12.81,13.21,13.79,15.29,16.88,18.41,18.31,18.10,17.89,17.30,17.44,18.13,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2008,Inflation_Food (%) Year-on-Year,10.64,11.23,12.95,13.15,15.84,17.74,17.45,17.56,17.00,15.00,15.84,16.73,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2007,Bank of Ghana Composite Index of Economic Activity (Real),163.81,167.55,172.74,172.49,183.08,177.90,179.26,200.48,189.96,191.82,203.70,204.80,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2007,Bank of Ghana Composite Index of Economic Activity (Real Growth) (%),9.52,14.34,11.18,19.63,16.06,9.73,13.33,17.73,24.00,19.81,17.18,16.74,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2007,Bank of Ghana Composite Index of Economic Activity (Nominal Growth) (%),20.76,25.86,23.47,30.53,26.51,21.84,25.69,29.71,34.55,31.38,29.22,30.03,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2007,Bank of Ghana Composite Index of Economic Activity (Nominal),282.91,291.14,300.49,303.88,321.22,318.50,324.69,357.18,346.45,355.50,377.93,385.78,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2007,Inflation_Non-Food (%) Year-on-Year,13.06,11.12,11.57,11.54,11.67,11.28,10.11,10.69,10.85,11.11,12.78,14.38,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2007,Inflation_Food (%) Year-on-Year,8.06,9.49,8.38,9.13,10.18,9.91,10.18,10.03,9.29,8.81,9.50,10.51,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2007,Inflation Headline (%) Year-on-Year,10.89,10.42,10.19,10.50,11.02,10.69,10.14,10.41,10.19,10.14,11.40,12.75,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2006,Bank of Ghana Composite Index of Economic Activity (Real Growth) (%),14.53,12.51,9.55,5.33,14.61,17.54,10.96,14.12,5.25,16.01,18.73,15.57,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2006,Bank of Ghana Composite Index of Economic Activity (Real),149.57,146.54,155.37,144.19,157.74,162.12,158.18,170.29,153.19,160.10,173.83,175.43,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2006,Bank of Ghana Composite Index of Economic Activity (Nominal),234.26,231.31,243.37,232.80,253.92,261.41,258.32,275.38,257.50,270.59,292.47,296.69,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2006,Bank of Ghana Composite Index of Economic Activity (Nominal Growth) (%),23.09,21.14,18.40,14.33,23.21,26.45,20.09,23.00,15.97,24.89,27.71,25.19,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2006,Inflation_Non-Food (%) Year-on-Year,13.60,13.46,11.76,11.72,11.99,11.95,13.73,13.93,13.94,13.37,13.50,13.53,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2006,Inflation_Food (%) Year-on-Year,11.69,10.73,10.66,10.55,11.43,10.67,11.84,10.77,8.73,7.62,7.08,7.53,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2006,Inflation Headline (%) Year-on-Year,12.76,12.27,11.28,11.21,11.75,11.39,12.91,12.56,11.67,10.87,10.70,10.92,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2005,Bank of Ghana Composite Index of Economic Activity (Real Growth) (%),6.23,8.05,6.46,6.05,7.45,3.93,-0.25,10.48,6.27,2.90,8.83,8.45,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2005,Bank of Ghana Composite Index of Economic Activity (Real),130.60,130.25,141.83,136.89,137.63,137.92,142.56,149.22,145.55,138.01,146.41,151.79,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2005,Bank of Ghana Composite Index of Economic Activity (Nominal Growth) (%),18.45,18.41,17.96,17.80,18.20,14.51,12.12,20.50,17.11,13.59,19.76,19.64,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2005,Bank of Ghana Composite Index of Economic Activity (Nominal),190.33,190.94,205.54,203.62,206.08,206.73,215.12,223.88,222.04,216.66,229.01,236.99,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2005,Inflation Headline (%) Year-on-Year,16.83,16.96,17.79,17.14,14.51,14.05,17.34,13.33,14.34,14.92,14.65,13.91,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2004,Bank of Ghana Composite Index of Economic Activity (Real Growth) (%),8.54,15.09,18.96,21.47,15.30,18.17,20.97,11.01,11.65,12.00,17.85,6.84,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2004,Bank of Ghana Composite Index of Economic Activity (Real),122.95,120.54,133.23,129.08,128.09,132.71,142.92,135.06,136.97,134.11,134.52,139.97,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2004,Bank of Ghana Composite Index of Economic Activity (Nominal Growth) (%),22.78,28.75,29.83,33.42,27.49,29.44,31.30,22.06,23.35,23.74,26.43,16.49,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2004,Bank of Ghana Composite Index of Economic Activity (Nominal),160.68,161.26,174.24,172.85,174.35,180.54,191.86,185.79,189.59,190.75,191.22,198.08,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2004,Inflation Headline (%) Year-on-Year,28.95,18.60,15.62,17.26,17.62,18.00,15.03,17.53,19.64,16.90,16.51,16.44,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2003,Bank of Ghana Composite Index of Economic Activity (Real Growth) (%),14.69,13.22,7.01,3.67,5.09,6.76,9.87,11.69,9.21,12.47,-0.64,6.76,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
