stress_definition,pair,a,b,tail,q,n_calm,n_stress,B,block,seed,lambda_calm,lambda_stress,difference,diff_lo_95,diff_hi_95,p_value,uncorrected_reject_5pct,bonf_threshold,bonf_reject_5pct,bh_reject_5pct,bh_cutoff
covid,Brent–Cedi,brent,cedi,lower,0.025,2451,80,15000,20,23940283,0.016319869441,0,-0.016319869441,-0.0489596083231,0,0.632557829478,False,0.000833333333333,False,False,
covid,Brent–Cedi,brent,cedi,upper,0.025,2451,80,15000,20,3840275100,0.016319869441,0,-0.016319869441,-0.0815993472052,0,0.693087127525,False,0.000833333333333,False,False,
covid,Brent–Cedi,brent,cedi,lower,0.05,2451,80,15000,20,1102696581,0.0571195430437,0,-0.0571195430437,-0.0979192166463,-0.016319869441,0.010799280048,True,0.000833333333333,False,False,
covid,Brent–Cedi,brent,cedi,upper,0.05,2451,80,15000,20,3575804798,0.0571195430437,0,-0.0571195430437,-0.106079151367,-0.0244798041616,0.016332244517,True,0.000833333333333,False,False,
covid,Brent–Cedi,brent,cedi,lower,0.1,2451,80,15000,20,3063377652,0.110159118727,0,-0.110159118727,-0.142798857609,0.277080783354,0.0794613692421,False,0.000833333333333,False,False,
covid,Brent–Cedi,brent,cedi,upper,0.1,2451,80,15000,20,2923607676,0.110159118727,0,-0.110159118727,-0.15095879233,-0.0734394124847,0.00446636890874,True,0.000833333333333,False,False,
covid,Brent–WTI,brent,wti,lower,0.025,2451,80,15000,20,928188066,0.750713994288,0.5,-0.250713994288,-0.799673602611,0.765605875153,0.64055729618,False,0.000833333333333,False,False,
covid,Brent–WTI,brent,wti,upper,0.025,2451,80,15000,20,503922943,0.767033863729,0.5,-0.267033863729,-0.815993472052,0.281925744594,0.743950403306,False,0.000833333333333,False,False,
covid,Brent–WTI,brent,wti,lower,0.05,2451,80,15000,20,2536594023,0.742554059568,0.75,0.00744594043248,-0.500713994288,0.330885352917,0.96320245317,False,0.000833333333333,False,False,
covid,Brent–WTI,brent,wti,upper,0.05,2451,80,15000,20,3927968026,0.750713994288,0.5,-0.250713994288,-0.791513667891,0.031925744594,0.439970668622,False,0.000833333333333,False,False,
covid,Brent–WTI,brent,wti,lower,0.1,2451,80,15000,20,3744671618,0.762953896369,0.625,-0.137953896369,-0.541513667891,0.132445940432,0.481367908806,False,0.000833333333333,False,False,
covid,Brent–WTI,brent,wti,upper,0.1,2451,80,15000,20,3491554663,0.758873929009,0.5,-0.258873929009,-0.416513667891,0.0237658098735,0.0619958669422,False,0.000833333333333,False,False,
covid,Cocoa–Brent,cocoa,brent,lower,0.025,2451,80,15000,20,1743739655,0.114239086087,0,-0.114239086087,-0.179518563851,0.934720522236,0.33271115259,False,0.000833333333333,False,False,
covid,Cocoa–Brent,cocoa,brent,upper,0.025,2451,80,15000,20,1024769812,0.0489596083231,0,-0.0489596083231,-0.114239086087,0,0.145256982868,False,0.000833333333333,False,False,
covid,Cocoa–Brent,cocoa,brent,lower,0.05,2451,80,15000,20,1338330185,0.15503875969,0.25,0.0949612403101,-0.203998368013,0.58680130559,0.604759682688,False,0.000833333333333,False,False,
covid,Cocoa–Brent,cocoa,brent,upper,0.05,2451,80,15000,20,1787319325,0.0489596083231,0,-0.0489596083231,-0.0979192166463,0.418400652795,0.246183587761,False,0.000833333333333,False,False,
covid,Cocoa–Brent,cocoa,brent,lower,0.1,2451,80,15000,20,3200749331,0.175438596491,0.25,0.0745614035088,-0.183598531212,0.300081599347,0.554163055796,False,0.000833333333333,False,False,
covid,Cocoa–Brent,cocoa,brent,upper,0.1,2451,80,15000,20,1656373133,0.134638922889,0.125,-0.00963892288862,-0.15911872705,0.256680946552,0.842943803746,False,0.000833333333333,False,False,
covid,Cocoa–Cedi,cocoa,cedi,lower,0.025,2451,80,15000,20,1362762032,0,0,0,0,0,1,False,0.000833333333333,False,False,
covid,Cocoa–Cedi,cocoa,cedi,upper,0.025,2451,80,15000,20,2943022128,0,0,0,-0.0326397388821,0,1,False,0.000833333333333,False,False,
covid,Cocoa–Cedi,cocoa,cedi,lower,0.05,2451,80,15000,20,2368666092,0.0326397388821,0,-0.0326397388821,-0.0734394124847,0,0.0899940004,False,0.000833333333333,False,False,
covid,Cocoa–Cedi,cocoa,cedi,upper,0.05,2451,80,15000,20,2342607016,0.0407996736026,0,-0.0407996736026,-0.0734394124847,-0.00815993472052,0.0284647690154,True,0.000833333333333,False,False,
covid,Cocoa–Cedi,cocoa,cedi,lower,0.1,2451,80,15000,20,962209950,0.0897592819257,0,-0.0897592819257,-0.130558955528,0.047480620155,0.0828611425905,False,0.000833333333333,False,False,
covid,Cocoa–Cedi,cocoa,cedi,upper,0.1,2451,80,15000,20,3745900483,0.0897592819257,0,-0.0897592819257,-0.122399020808,-0.0489596083231,0.00266648890074,True,0.000833333333333,False,False,
covid,Cocoa–Gold,cocoa,gold,lower,0.025,2451,80,15000,20,37202955,0.0326397388821,0.5,0.467360261118,-0.0815993472052,1,0.869208719419,False,0.000833333333333,False,False,
covid,Cocoa–Gold,cocoa,gold,upper,0.025,2451,80,15000,20,2919472984,0.0326397388821,0,-0.0326397388821,-0.0815993472052,0,0.294713685754,False,0.000833333333333,False,False,
covid,Cocoa–Gold,cocoa,gold,lower,0.05,2451,80,15000,20,440143793,0.0897592819257,0.5,0.410240718074,-0.130558955528,0.918400652795,0.556562895807,False,0.000833333333333,False,False,
covid,Cocoa–Gold,cocoa,gold,upper,0.05,2451,80,15000,20,4232287330,0.0897592819257,0,-0.0897592819257,-0.138718890249,0.176560587515,0.0675288314112,False,0.000833333333333,False,False,
covid,Cocoa–Gold,cocoa,gold,lower,0.1,2451,80,15000,20,161047331,0.134638922889,0.375,0.240361077111,-0.15911872705,0.607201142391,0.378441437238,False,0.000833333333333,False,False,
covid,Cocoa–Gold,cocoa,gold,upper,0.1,2451,80,15000,20,476009833,0.15911872705,0.125,-0.0341187270502,-0.191758465932,0.135760913913,0.84781014599,False,0.000833333333333,False,False,
covid,Cocoa–WTI,cocoa,wti,lower,0.025,2451,80,15000,20,732938844,0.0979192166463,0,-0.0979192166463,-0.16319869441,0.451040391677,0.111992533831,False,0.000833333333333,False,False,
covid,Cocoa–WTI,cocoa,wti,upper,0.025,2451,80,15000,20,1289212326,0.0489596083231,0,-0.0489596083231,-0.114239086087,0,0.174788347444,False,0.000833333333333,False,False,
covid,Cocoa–WTI,cocoa,wti,lower,0.05,2451,80,15000,20,925337132,0.146878824969,0.25,0.103121175031,-0.195838433293,0.58680130559,0.635757616159,False,0.000833333333333,False,False,
covid,Cocoa–WTI,cocoa,wti,upper,0.05,2451,80,15000,20,3222631939,0.0489596083231,0,-0.0489596083231,-0.0897592819257,0.418400652795,0.215585627625,False,0.000833333333333,False,False,
covid,Cocoa–WTI,cocoa,wti,lower,0.1,2451,80,15000,20,990536202,0.16319869441,0.25,0.0868013055896,-0.171358629131,0.34088127295,0.598893407106,False,0.000833333333333,False,False,
covid,Cocoa–WTI,cocoa,wti,upper,0.1,2451,80,15000,20,20486144,0.130558955528,0.125,-0.00555895552836,-0.15911872705,0.252600979192,0.897606826212,False,0.000833333333333,False,False,
