quantile,n_total,threshold,xi,beta,n_exceed,VaR99_resid,ES99_resid
0.85,2773,0.328570334342,0.633739976756,0.277388720763,416,2.32613752401,6.53988406246
0.875,2773,0.3893190271,0.679278740983,0.289445418837,347,2.33428705166,7.35615823898
0.9,2773,0.461841807717,0.69267257713,0.328984414385,278,2.33154409609,7.61605760215
0.925,2773,0.559397481533,0.648644711613,0.430159794338,208,2.3467640059,6.8707478212
0.95,2773,0.766808346128,0.692097219011,0.523336930623,139,2.31807062062,7.50464682377
0.96,2773,0.893088951829,0.712044346516,0.59654416947,111,2.30462174542,7.86665220285
0.97,2773,1.07507858375,0.789817362009,0.66120571185,84,2.24688023029,9.79610033851
0.975,2773,1.20070577288,0.771491870257,0.783297420981,70,2.25959759958,9.26251630783
