series,n_total,threshold_q,threshold,xi,beta,n_exceed,VaR99_resid,ES99_resid,hill_gamma_k5pct,hill_k
cocoa,2773,0.9,1.20718326385,0.0698842948501,0.585021952834,278,2.67041462982,3.40933220883,0.310400824157,138
gold,2773,0.9,1.158730295,0.0361264695993,0.672919198565,278,2.77629760904,3.53506540574,0.324148365528,138
brent,2773,0.9,1.21394067351,0.135023723913,0.646291468642,278,2.96159973948,3.98158945278,0.344157762087,138
wti,2773,0.9,1.28302057372,0.185649809969,0.525782198543,278,2.7956490105,3.78613368191,0.297329834832,138
cedi,2773,0.9,0.461841807717,0.69267257713,0.328984414385,278,2.33154409609,7.61605760215,0.683378850923,138
