source,quantile,n_total,threshold,xi,beta,n_exceed,VaR99,ES99,hill_gamma_k5pct,hill_k,resid_input_sha256,evt_code_sha256,canonical_comparison
negative standardized residuals (_resid_real.csv),0.900000000000,3007,1.621563465533,0.721600816822,1.036950980852,301,7.759407348901,27.393172355746,0.662561118901,150,1f5d43c89a7e85079fba6b0713fe5264c8ffb33c7ded3da406c1b01ae6be591f,408b0844b4606f76a58be8c5a493acc36bf1c514ae6e89b052462ab87bfe73c6,MATCHES_EXISTING_TO_3DP
negative raw Cedi returns (returns_real.csv),0.900000000000,3008,0.286834852970,0.629303251572,0.234939462739,301,1.504175164063,4.204537881088,0.731698060970,150,1f5d43c89a7e85079fba6b0713fe5264c8ffb33c7ded3da406c1b01ae6be591f,408b0844b4606f76a58be8c5a493acc36bf1c514ae6e89b052462ab87bfe73c6,MATCHES_EXISTING_TO_3DP
