series,n_returns,zero_returns,zero_return_pct,nonzero_abs_le_0_5pctpt,nonzero_abs_le_0_5pctpt_pct,min_return_pct,max_return_pct
cocoa,3008,133,4.421542553191,610,21.217391304348,-26.057006193523,12.804670315844
gold,3008,122,4.055851063830,1414,48.995148995149,-12.065691771157,5.905437776176
brent,3008,122,4.055851063830,660,22.869022869023,-27.976148809486,19.077403911622
wti,3008,123,4.089095744681,575,19.930675909879,-60.167577925295,31.963363001507
cedi,3008,670,22.273936170213,2103,89.948674080411,-13.342497104987,15.038537605530
