source,quantile,n_total,threshold,xi,beta,n_exceed,VaR99,ES99,hill_gamma_k5pct,hill_k
cocoa,0.900000000000,3007,1.188631193436,0.050445013798,0.611352255286,301,2.682020373882,3.405186807714,0.316610622455,150
gold,0.900000000000,3007,1.137779613787,0.036878696609,0.691026387467,301,2.799187550848,3.580290558405,0.321323124957,150
brent,0.900000000000,3007,1.203687455908,0.086796787122,0.674257465501,301,2.923059468759,3.824823085523,0.338346308239,150
wti,0.900000000000,3007,1.265943450569,0.181556718985,0.572154210245,301,2.902364758427,3.964451177780,0.308274140317,150
cedi,0.900000000000,3007,1.621563465533,0.721600816822,1.036950980852,301,7.759407348901,27.393172355746,0.662561118901,150
