source,quantile,n_total,threshold,xi,beta,n_exceed,VaR99,ES99,hill_gamma_k5pct,hill_k
negative standardized residuals (_resid_real.csv),0.850000000000,3007,1.181131103598,0.638304675247,0.902148045148,451,7.727974027672,21.775787598834,0.662561118901,150
negative standardized residuals (_resid_real.csv),0.855000000000,3007,1.224200202959,0.660107587693,0.889255583394,436,7.748061609150,23.034386959614,0.662561118901,150
negative standardized residuals (_resid_real.csv),0.860000000000,3007,1.262000890454,0.672029809829,0.892674268981,421,7.759868417044,23.796188499722,0.662561118901,150
negative standardized residuals (_resid_real.csv),0.865000000000,3007,1.297003477924,0.676435855682,0.908373053444,406,7.764565989979,24.092902513814,0.662561118901,150
negative standardized residuals (_resid_real.csv),0.870000000000,3007,1.319307073204,0.655442342097,0.964441111095,391,7.753427066378,22.791942884888,0.662561118901,150
negative standardized residuals (_resid_real.csv),0.875000000000,3007,1.365230125837,0.668224479668,0.968850098389,376,7.757089896636,23.551043780297,0.662561118901,150
negative standardized residuals (_resid_real.csv),0.880000000000,3007,1.408563638420,0.673765788201,0.986616040119,361,7.758429456334,23.896952632263,0.662561118901,150
negative standardized residuals (_resid_real.csv),0.885000000000,3007,1.467781957626,0.702876143321,0.968892181070,346,7.764836440755,25.922050778061,0.662561118901,150
negative standardized residuals (_resid_real.csv),0.890000000000,3007,1.505420676045,0.692452255950,1.016247345601,331,7.763434283799,25.157881453548,0.662561118901,150
negative standardized residuals (_resid_real.csv),0.895000000000,3007,1.560748715670,0.705617044537,1.027833525739,316,7.763232784507,26.121673390183,0.662561118901,150
negative standardized residuals (_resid_real.csv),0.900000000000,3007,1.621563465533,0.721600816822,1.036950980852,301,7.759407348901,27.393172355746,0.662561118901,150
negative standardized residuals (_resid_real.csv),0.905000000000,3007,1.666539126499,0.705017264729,1.103866467481,286,7.763612490970,26.077933323327,0.662561118901,150
negative standardized residuals (_resid_real.csv),0.910000000000,3007,1.723126901168,0.699431846066,1.157097403545,271,7.768369483364,25.685545711884,0.662561118901,150
negative standardized residuals (_resid_real.csv),0.915000000000,3007,1.798536864958,0.707365176705,1.187499253200,256,7.756629531481,26.216655799918,0.662561118901,150
negative standardized residuals (_resid_real.csv),0.920000000000,3007,1.891133264100,0.735682812967,1.185047675230,241,7.727928676982,28.457105635885,0.662561118901,150
negative standardized residuals (_resid_real.csv),0.925000000000,3007,1.977421773762,0.751039522374,1.214183937386,226,7.714579924865,29.898890091839,0.662561118901,150
negative standardized residuals (_resid_real.csv),0.930000000000,3007,2.037136751687,0.709796115972,1.361401445477,211,7.765323167427,26.466816199187,0.662561118901,150
negative standardized residuals (_resid_real.csv),0.935000000000,3007,2.123239394464,0.687651493263,1.485772312447,196,7.804405863717,25.068566895981,0.662561118901,150
negative standardized residuals (_resid_real.csv),0.940000000000,3007,2.234175854938,0.675242163955,1.601172019602,181,7.831119228448,24.398738474221,0.662561118901,150
negative standardized residuals (_resid_real.csv),0.945000000000,3007,2.430671465181,0.728053293396,1.555155765167,166,7.704447599522,27.541958837610,0.662561118901,150
negative standardized residuals (_resid_real.csv),0.950000000000,3007,2.628933811183,0.790697926098,1.514365336574,151,7.574520598584,33.493186627899,0.662561118901,150
negative standardized residuals (_resid_real.csv),0.955000000000,3007,2.779914842834,0.771350225432,1.693186384526,136,7.615549077178,31.333717842205,0.662561118901,150
negative standardized residuals (_resid_real.csv),0.960000000000,3007,2.975469590195,0.756464403355,1.894395600812,121,7.650456449644,29.950509587433,0.662561118901,150
negative standardized residuals (_resid_real.csv),0.965000000000,3007,3.283052660887,0.797142455430,1.965961578859,106,7.549866589998,34.007941504286,0.662561118901,150
negative standardized residuals (_resid_real.csv),0.970000000000,3007,3.525593342856,0.729705166958,2.462927441514,91,7.722611799181,28.165153866073,0.662561118901,150
negative standardized residuals (_resid_real.csv),0.975000000000,3007,3.992748167342,0.723622815031,2.835159353356,76,7.738710688555,27.804850730374,0.662561118901,150
