pair,family,n_boot_used,escalated,p_value_B2000,p_value_B5000,p_value_final,Sn,not_rejected_5pct,rho,nu,theta
Gold–WTI,survival_gumbel,2000,False,0.000500,,0.000500,0.080059,False,,,1.057472
Gold–WTI,t,2000,False,0.000500,,0.000500,0.055884,False,0.081270,7.818400,
WTI–Cedi,clayton,2000,False,0.404798,,0.404798,0.021202,True,,,0.002479
WTI–Cedi,frank,2000,False,0.211894,,0.211894,0.019223,True,,,-0.058019
WTI–Cedi,gaussian,2000,False,0.282359,,0.282359,0.019577,True,-0.012407,,
WTI–Cedi,gumbel,2000,False,0.402299,,0.402299,0.020857,True,,,1.000335
WTI–Cedi,joe,2000,False,0.465267,,0.465267,0.020735,True,,,1.000335
WTI–Cedi,survival_clayton,2000,False,0.370315,,0.370315,0.021656,True,,,0.002479
WTI–Cedi,survival_gumbel,2000,False,0.415292,,0.415292,0.020857,True,,,1.000335
WTI–Cedi,t,2000,False,0.284858,,0.284858,0.019604,True,-0.012108,73.427302,
