,n_common_days,level_correlation,return_correlation,n_days_gap_gt_2pct,median_gap_pct,max_gap_pct
raw,2850.0,0.3274,0.0193,1052.0,1.2566,10428.6368
excl_garbage,2848.0,0.9968,0.1762,1050.0,1.2564,47.4724
