kind,series,n_common,correlation,max_abs_diff,mean_abs_diff,exact_values
residual,cocoa,3007,1.000000000000,0.000000000000,0.000000000000,False
residual,gold,3007,1.000000000000,0.000000000000,0.000000000000,False
residual,brent,3007,1.000000000000,0.000000000000,0.000000000000,False
residual,wti,3007,1.000000000000,0.000000000000,0.000000000000,False
residual,cedi,3007,1.000000000000,0.000000000000,0.000000000000,False
pit,cocoa,3007,1.000000000000,0.000000000000,0.000000000000,False
pit,gold,3007,1.000000000000,0.000000000000,0.000000000000,False
pit,brent,3007,1.000000000000,0.000000000000,0.000000000000,False
pit,wti,3007,1.000000000000,0.000000000000,0.000000000000,False
pit,cedi,3007,1.000000000000,0.000000000000,0.000000000000,False
