date,bog_daily_move_pct,bog_window_max_abs_move_pct,verdict
2020-03-31,0.09,0.735,no comparable BoG move — Yahoo tick was an artifact; BoG series used
2020-04-01,0.0,0.724,no comparable BoG move — Yahoo tick was an artifact; BoG series used
2022-12-16,-0.004,15.039,no comparable BoG move — Yahoo tick was an artifact; BoG series used
2016-05-13,0.137,0.147,no comparable BoG move — Yahoo tick was an artifact; BoG series used
2016-05-16,-0.058,0.147,no comparable BoG move — Yahoo tick was an artifact; BoG series used
