,Cocoa,Gold,Brent,WTI,Cedi
Cocoa,1.0,0.076,0.083,0.076,0.076
Gold,0.076,1.0,0.083,0.091,0.03
Brent,0.083,0.083,1.0,0.642,0.068
WTI,0.076,0.091,0.642,1.0,0.091
Cedi,0.076,0.03,0.068,0.091,1.0
